Files,Shortnames,Dates,RA,DEC,Standard,Standard_error,Gravity,Index_burgasser,Index_burgasser_err,Index_allers,Index_allers_err,Index_reid,Index_reid_err
spex_prism_0416-2531_161024.fits,J0416-2531,161024, 04:16:21.55,-25:30:55.7,M4.0,0.5000000033963061,,L7.3:,1.1009202354921597,,,,
spex_prism_0432+2549_170105.fits,J0432+2549,170105, 04:32:23.53, 25:49:50.8,M5.0:,1.066342277957909,INT-G,L9.0:,1.1294438114687435,M6.3,0.537053273512098,,
spex_prism_0135+0205_160806.fits,J0135+0205,160806, 01:35:25.52, 02:05:11.0,L9.5,0.8630525502637603,,L9.1,0.606375410272324,,,,
spex_prism_0202-1328_160908.fits,J0202-1328,160908, 02:02:58.81,-13:28:02.2,M3.0,0.5001291224120703,,L4.3,0.6536014507848004,,,,
spex_prism_0443+3138_161012.fits,J0443+3138,161012, 04:43:23.77, 31:38:43.3,L0.0:,1.1211495659767188,,L3.1,0.6651064454000855,M5.3,0.36742368971104955,,
spex_prism_0022+0118_160911.fits,J0022+0118,160911, 00:22:40.57, 01:18:10.2,M4.0,0.7645764514399661,,L7.4:,1.1240037488985373,M4.0:,1.1081927665339046,,
spex_prism_0211-1427_170710.fits,J0211-1427,170710, 02:11:10.51,-14:27:41.6,L1.0,0.5000000012315201,FLD-G,L3.4,0.5638920397212647,L1.6,0.31324787148031996,L2.3,0.7814332776791679
spex_prism_0423+2612_170220.fits,J0423+2612,170220, 04:23:58.47, 26:12:03.3,M8.0,0.5,VL-G,L1.0:,1.622127116483949,M6.3,0.6350588115957243,,
spex_prism_1557-2128_170210.fits,J1557-2128,170210, 15:57:11.31,-21:28:36.6,M0.5,0.863913575801804,,L4.5,0.7207506783438553,,,,
spex_prism_1043+5012_170216.fits,J1043+5012,170216, 10:43:58.73, 50:12:23.9,M8.0,0.5084927009417565,FLD-G,L1.1,0.5966622055718598,M9.0,0.4005397698108792,L0.0,0.803768862676288
spex_prism_0408+3232_161012.fits,J0408+3232,161012, 04:08:59.06, 32:32:21.6,M7.0,0.5004734293196716,,L3.5:,1.1564409867610257,M6.0,0.3439912013292302,,
spex_prism_1830-0206_170731.fits,J1830-0206,170731, 18:30:16.33,-02:06:34.3,L7.0:,1.0694886800071777,VL-G,T3.3:,1.15590946351475,L6.6,0.7580981286386604,,
spex_prism_0202+2305_160928.fits,J0202+2305,160928, 02:02:28.80, 23:05:17.7,L7.0,0.5000000000007355,INT-G,L7.4,0.5896734355413299,L4.5,0.44674778758595407,L5.7,0.7906170523890033
spex_prism_0422+2655_170102.fits,J0422+2655,170102, 04:22:00.70, 26:55:17.1,L7.0,0.5000000135079613,VL-G,L5.0,0.7761107411835868,L1.6,0.4308566785383257,L2.9,0.8502622255010798
spex_prism_0424+2641_170102.fits,J0424+2641,170102, 04:24:38.13, 26:41:27.2,L6.5,0.9123989993574853,VL-G,L3.6,0.8117258924594374,L0.3,0.4505315957076445,L0.8,0.827676786912805
spex_prism_0032-0221_160908.fits,J0032-0221,160908, 00:32:44.70,-02:21:44.2,M3.0,0.5000001438359184,,L3.1,0.6485876416673525,M4.4:,1.0983811988222936,,
spex_prism_1624-2237_170213.fits,J1624-2237,170213, 16:24:55.83,-22:37:03.3,M9.0,0.5362454004301144,VL-G,L1.1,0.5752806293803601,M7.7,0.3767610176809681,M9.4,0.7954686222527642
spex_prism_0357+3218_161013.fits,J0357+3218,161013, 03:57:25.14, 32:18:24.0,M6.0,0.5000005082761113,VL-G,L4.6:,1.2312960016821575,M6.1,0.4413312652637341,,
spex_prism_0420+2655_170219.fits,J0420+2655,170219, 04:20:47.59, 26:55:07.7,L2.5,0.8855890836604635,FLD-G,L2.3,0.9153012517329302,M8.8,0.7457891340667258,L2.6:,1.3697306655781263
